allow_customer_reviews,attribute_1_global,attribute_1_name,attribute_1_values,attribute_1_visible,attribute_2_global,attribute_2_name,attribute_2_values,attribute_2_visible,backorders_allowed,button_text,categories,cross_sells,currency,date_sale_price_ends,date_sale_price_starts,description,download_1_URL,download_1_name,download_2_URL,download_2_name,download_expiry_days,download_limit,external_URL,grouped_products,height,images,in_stock,is_featured,length,meta__wpcom_is_markdown,name,parent,position,published,purchase_note,regular_price,sale_price,shipping_class,short_description,sku,sold_individually,stock,tags,tax_class,tax_status,upsells,url,visibility_in_catalog,weight,width
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,"Mooie, luchtige tweedelige hoofddoek. De Hijab zit superfijn en is ook nog eens heel makkelijk en snel om te doen. Door de natuurlijke uitstraling en de koude stof is deze hoofddoek zeer gewild. Beschikbaar in verschillende kleuren. ",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Cotton Stretch Hijab 2 Delig,,,1,,None,"3,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/cotton-stretch-hijab-2-delig.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Gemaakt van Raffia palmbladeren met een lederen voorkant en versierd met zilveren pailletten. De tas heeft een lang verstelbare lederen band. Handgeweven Marokkaanse tas is een typisch en authentiek accessoire. Grootte: ca. Hoogte 20 cm Breedte 20 cm Diepte 6 cm Riem 60 cm / 23.6 in,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Raffia tas zilver pailletten,,,1,,None,"28,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/raffia-tas-zilver-pailletten.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,"Wie van opvallen houdt, moet deze in haar kast hebben. De Metallic Sparkle Sjaal is een zeer luxe sjaal die boven een standaard outfit gedragen kan worden als eyecatcher. Tevens kan deze hoofddoek ook functioneren als een feestelijke sjaal. De sjaal is van een stretch stof dus zit ook nog eens heerlijk. Beschikbaar in een kleur: Metallic Afmeting: 170cm x 70cm",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Metallic Sparkle Sjaal,,,1,,None,"8,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/metallic-sparkle-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,"Deze simpele maar toch elegante abaya zit heerlijk comfortabel. De abaya is voorzien van een ritssluiting en een touwtje om het midden waarmee je de abaya naar je eigen smaak kan aantrekken. Ook heeft de abaya twee zijzakken, wat het design toch wat stoerder maakt. Beschikbaar in een kleur: Zwart",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Classic Modest Abaya,,,1,,None,"59,99",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/classic-modest-abaya.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,De glossy ribbed sjaal is voor elke vrouw een comfortabele sjaal van een premium stretch kwaliteit. Afgewerkt met een satijnachtige stof om het extra zacht en glanzend te maken. Deze sjaal creëert een stijlvolle en aparte look. Met deze hoofddoek zit je voor een hele dag goed. Beschikbaar in verschillende kleuren. Afmeting : 210 cm x 70 cm,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Glossy Ribbed Sjaal,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/glossy-ribbed-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Met een mooie geborduurde motieven bovenkant van steentjes is deze abaya een musthave. De abaya zit heerlijk comfortabel maar oogt heel luxe. De abaya is voorzien van een ritssluiting en een touwtje om het midden waarmee je de abaya naar je eigen smaak kan aantrekken. Beschikbaar in de kleur zwart met paarse bewerkte motieven en afwerkingen.,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Modest Embroidered Abaya,,,1,,None,"69,99",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/modest-embroidered-abaya-fashion.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Glitter flower sjaal. Afmetingen: 90cm x 180cm Materiaal: 100% Viscose,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Glitter flower sjaal,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/glitter-flower-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Super zachte stretch hijab afgewerkt met steentjes in horizontale lijnen. Door de stretch past deze hoofdoek mooi rond je gezichtsvorm. Creëer een stijlvolle look door te matchen met deze prachtige sjaal. Beschikbaar in verschillende kleuren Afmeting : 195cm x 70cm,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Jersey Hijab Stones,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/jersey-hijab-stones.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Zeer chique hoofddoek met een luxe uitstraling . Goed te matchen met alle soorten kledingstijlen. De sjaal heeft een tijgerachtige print en is zacht van stof. Zowel goed voor in de zomer als de winter. Beschikbaar in verschillende kleuren. Afmeting : 180cm x 70cm,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,The Classic Hijab sjaal,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/the-classic-hijab-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Fancy satin hijab,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Fancy satin hijab,,,1,,None,"5,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/fancy-satin-hijab.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Super zachte stretch hijab afgewerkt met steentjes in een vierkante vorm. Door de stretch past deze hoofddoek mooi rond je gezichtsvorm. Creëer een stijlvolle look door te matchen met deze prachtige sjaal. Beschikbaar in verschillende kleuren Afmeting : 165cm x 70cm,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Jersey Hijab Square Stones,,,1,,None,"4,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/jersey-hijab-square-stones.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Een trendy als hoofdbedekking die je met veel outfits kunt combineren. Maten zijn standaard. Ook geschikt om zonder kapje te dragen.,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Turban twist,,,1,,None,"8,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/turban-twist.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Licht en Luchtige stijlvolle hijab sjaal van stretch stof. Door de stretch past deze hoofddoek mooi rond je gezichtsvorm. De ribbelige afwerking zorgt er voor dat deze sjaal niet standaard is. Beschikbaar in verschillende kleuren. Afmeting : 190cm x 80,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Hint Ipek Crinkle Sjaal,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/hint-ipek-crinkle-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,"Zeer zachte, comfortabele hoofddoek van katoenachtige stretch stof. Deze hijab is gemakkelijk te dragen op verschillende gewenste manieren. De Jersey stretch hijab is niet doorschijnend en is ook geschikt voor de wintermaanden door de dikkere stof. Beschikbaar in verschillende kleuren. Afmeting: 115cm x 115cm",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Jersey Stretch Hoofddoek,,,1,,None,"4,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/jersey-stretch-hoofddoek.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,"Deze nylon Lycra burkini is ideaal om te gebruiken tijdens een bezoekje aan het strand of zwembad. Het nylon materiaal zorgt voor een comfortabel pak  en de gekleurde  lijnen aan de voorkant zorgen voor een mooie uitstraling. Volledig dekkende burkini bestaande uit 3 onderdelen, namelijk: broek, tuniek en hoofddoek.",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Burkini Badpak | Islamitische Zwemkleding,,,1,,None,"39,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/burkini-badpak-islamitische-zwemkleding.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Size: 70 x 180cm Material: 40% Cotton 60% Viscose,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Print Frayed sjaal,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/print-frayed-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,"Luxe, elegante abaya bewerkt met kant en steentjes bij de mouwen en aan de onderkant. Tevens is de abaya bewerkt met steentjes in het midden. Perfect om te dragen op een feestelijke gebeurtenis. De abaya heeft een rits en een touwtje om het midden waarmee je de abaya naar je eigen smaak kan aantrekken. Beschikbaar in twee kleuren: Zwart & Blauw",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Luxe kanten abaya,,,1,,None,"69,99",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/luxe-kanten-abaya.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Deze sjaal is gemaakt van een fijne Crepe en voelt daardoor ook heerlijk zacht aan. De hoofddoek is mooi afgewerkt en straalt door de simpele look elegantie uit. Less is more. De hoofddoek is stevig van stof en zowel goed voor de zomer als de winter. Beschikbaar in verschillende kleuren. Afmeting : 180cm x 70cm,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Premium Crepe Sjaal,,,1,,None,"6,95",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/premium-crepe-sjaal.html,,,
,,,,,,,,,,,shop > fashion > vrouw,,EUR,,,Met een mooie geborduurde motieven bovenkant van steentjes is deze abaya een musthave. De abaya zit heerlijk comfortabel maar oogt heel luxe. De abaya is voorzien van een ritssluiting en een touwtje om het midden waarmee je de abaya naar je eigen smaak kan aantrekken. Beschikbaar in de kleur zwart met zalmroze-achtige bewerkte motieven en afwerkingen.,,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Modest Embroidered Abaya,,,1,,None,"69,99",,,0,,,,,,,https://marocstore.nl/shop/fashion/vrouw/modest-embroidered-abaya.html,,,
,,,,,,,,,,,shop > cadeau-woondecoratie > overige,,EUR,,,"Handbeschilderde zwart witte Marokkaanse beker uit Safi, Marokko. Het Marokkaanse aardewerk is allemaal met de hand beschilderd en van hoge kwaliteit. Hoogte 11 cm diameter 7cm",,,,,,,,,,https://marocstore.nl/shop/pub/static/frontend/Smartwave/porto/nl_NL/images/loader-1.gif,1,,,,Marokkaanse mok- zwart/wit patroon,,,1,,None,"4,95",,,0,,,,,,,https://marocstore.nl/shop/cadeau-woondecoratie/overige/marokkaanse-mok-zwart-wit-patroon.html,,,
